IEL_ID,region_id,alignment37_start,alignment37_end,alignment37_length,n_deletion_events,n_insertion_events,n_independent_recurrent_pairs,independent_fraction,IEL_local_composition,IEL_topological_hotspot_class,n_species_resolved,species_resolved,cross_species_domain_consensus,architectural_domain_classes,architectural_formulas,ECM_contexts,APA_context_classes,structure_consensus_types,n_species_ECM_overlap,n_species_APA_near,n_species_structure_overlap,Dmel_alignment3_label,Dmel_ECM_context,Dmel_APA_context,Dmel_structure_type,Dmel_domain_class,Dyak_alignment3_label,Dyak_ECM_context,Dyak_APA_context,Dyak_structure_type,Dyak_domain_class,Dvir_alignment3_label,Dvir_ECM_context,Dvir_APA_context,Dvir_structure_type,Dvir_domain_class
IEL_011,10,371,373,3,13,2,29,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,composite_ECM_APA_structure_domain;composite_interface_APA_structure_domain,ECM+APA+RNA_STRUCTURE;ECM_INTERFACE+APA+RNA_STRUCTURE,ECM_interface;inside_ECM,partial_APA_neighborhood,internal_loop;stem,1,3,3,183|194,ECM_interface,partial_APA_neighborhood,internal_loop,composite_interface_APA_structure_domain,183|194,ECM_interface,partial_APA_neighborhood,internal_loop,composite_interface_APA_structure_domain,184-184,inside_ECM,partial_APA_neighborhood,stem,composite_ECM_APA_structure_domain
IEL_012,11,397,400,4,8,2,0,,mixed_deletion_insertion,exact_coordinate_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_ECM_APA_structure_domain,ECM+APA+RNA_STRUCTURE,inside_ECM,partial_APA_neighborhood,internal_loop;stem,3,3,3,207|208,inside_ECM,partial_APA_neighborhood,stem,composite_ECM_APA_structure_domain,207|208,inside_ECM,partial_APA_neighborhood,stem,composite_ECM_APA_structure_domain,207-207,inside_ECM,partial_APA_neighborhood,internal_loop,composite_ECM_APA_structure_domain
IEL_013,12,445,450,6,9,1,20,1.0,mixed_deletion_insertion,recurrent_deletion_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE,ECM_interface,PAS_cleavage_neighborhood;partial_APA_neighborhood,MFE:multiloop|centroid:hairpin_loop;stem,0,3,3,233|234,ECM_interface,PAS_cleavage_neighborhood,MFE:multiloop|centroid:hairpin_loop,composite_interface_APA_structure_domain,233|234,ECM_interface,partial_APA_neighborhood,stem,composite_interface_APA_structure_domain,233|235,ECM_interface,partial_APA_neighborhood,stem,composite_interface_APA_structure_domain
IEL_014,13,684,688,5,11,2,17,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,composite_ECM_APA_structure_domain;composite_interface_APA_structure_domain,ECM+APA+RNA_STRUCTURE;ECM_INTERFACE+APA+RNA_STRUCTURE,between_ECM;inside_ECM,PAS_cleavage_neighborhood;partial_APA_neighborhood,MFE:stem|centroid:multiloop;hairpin_loop;multiloop,2,3,3,394|395,inside_ECM,PAS_cleavage_neighborhood,multiloop,composite_ECM_APA_structure_domain,394|395,inside_ECM,PAS_cleavage_neighborhood,MFE:stem|centroid:multiloop,composite_ECM_APA_structure_domain,392-393,between_ECM,partial_APA_neighborhood,hairpin_loop,composite_interface_APA_structure_domain
IEL_015,14,912,916,5,8,1,14,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE,between_ECM,PAS_cleavage_neighborhood;partial_APA_neighborhood,internal_loop;multiloop;stem,0,3,3,534|536,between_ECM,PAS_cleavage_neighborhood,stem,composite_interface_APA_structure_domain,534|536,between_ECM,partial_APA_neighborhood,multiloop,composite_interface_APA_structure_domain,535|536,between_ECM,partial_APA_neighborhood,internal_loop,composite_interface_APA_structure_domain
IEL_016,15,957,959,3,11,1,35,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE,between_ECM,complete_APA_neighborhood;partial_APA_neighborhood,MFE:stem|centroid:hairpin_loop;hairpin_loop,0,3,3,568|569,between_ECM,complete_APA_neighborhood,hairpin_loop,composite_interface_APA_structure_domain,568|569,between_ECM,complete_APA_neighborhood,hairpin_loop,composite_interface_APA_structure_domain,585|586,between_ECM,partial_APA_neighborhood,MFE:stem|centroid:hairpin_loop,composite_interface_APA_structure_domain
IEL_017,16,989,991,3,9,1,5,1.0,mixed_deletion_insertion,mixed_recurrent_and_nested,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE,between_ECM,cleavage_DSE_neighborhood;partial_APA_neighborhood,hairpin_loop;stem,0,3,3,605|606,between_ECM,partial_APA_neighborhood,stem,composite_interface_APA_structure_domain,605|606,between_ECM,cleavage_DSE_neighborhood,hairpin_loop,composite_interface_APA_structure_domain,611-613,between_ECM,partial_APA_neighborhood,hairpin_loop,composite_interface_APA_structure_domain
IEL_018,17,1022,1023,2,7,1,13,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE,between_ECM,complete_APA_neighborhood;partial_APA_neighborhood,MFE:stem|centroid:multiloop;hairpin_loop;stem,0,3,3,621|636,between_ECM,complete_APA_neighborhood,hairpin_loop,composite_interface_APA_structure_domain,621|636,between_ECM,partial_APA_neighborhood,stem,composite_interface_APA_structure_domain,642-643,between_ECM,partial_APA_neighborhood,MFE:stem|centroid:multiloop,composite_interface_APA_structure_domain
IEL_019,18,1169,1188,20,8,1,24,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE,between_ECM,complete_APA_neighborhood;partial_APA_neighborhood,MFE:stem|centroid:internal_loop;hairpin_loop;stem,0,3,3,621|636,between_ECM,complete_APA_neighborhood,hairpin_loop,composite_interface_APA_structure_domain,621|636,between_ECM,partial_APA_neighborhood,stem,composite_interface_APA_structure_domain,683|684,between_ECM,partial_APA_neighborhood,MFE:stem|centroid:internal_loop,composite_interface_APA_structure_domain
IEL_020,19,1224,1224,1,7,1,11,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,between_ECM,APA_distant;complete_APA_neighborhood;partial_APA_neighborhood,MFE:stem|centroid:internal_loop;hairpin_loop;stem,0,2,3,621|636,between_ECM,complete_APA_neighborhood,hairpin_loop,composite_interface_APA_structure_domain,621|636,between_ECM,partial_APA_neighborhood,stem,composite_interface_APA_structure_domain,701|702,between_ECM,APA_distant,MFE:stem|centroid:internal_loop,ECM_interface_structure_domain
IEL_021,20,1228,1228,1,7,1,5,1.0,mixed_deletion_insertion,mixed_recurrent_and_nested,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,between_ECM,APA_distant;complete_APA_neighborhood;partial_APA_neighborhood,MFE:stem|centroid:internal_loop;hairpin_loop;stem,0,2,3,621|636,between_ECM,complete_APA_neighborhood,hairpin_loop,composite_interface_APA_structure_domain,621|636,between_ECM,partial_APA_neighborhood,stem,composite_interface_APA_structure_domain,705-705,between_ECM,APA_distant,MFE:stem|centroid:internal_loop,ECM_interface_structure_domain
IEL_022,21,1245,1245,1,7,1,4,1.0,mixed_deletion_insertion,exact_coordinate_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,between_ECM,APA_distant;complete_APA_neighborhood;partial_APA_neighborhood,MFE:internal_loop|centroid:stem;multiloop;stem,0,2,3,642-642,between_ECM,complete_APA_neighborhood,stem,composite_interface_APA_structure_domain,642-642,between_ECM,partial_APA_neighborhood,multiloop,composite_interface_APA_structure_domain,721-721,between_ECM,APA_distant,MFE:internal_loop|centroid:stem,ECM_interface_structure_domain
IEL_023,22,1291,1291,1,9,1,0,,mixed_deletion_insertion,exact_coordinate_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_ECM_APA_structure_domain,ECM+APA+RNA_STRUCTURE,inside_ECM,partial_APA_neighborhood,multiloop;stem,3,3,3,751|752,inside_ECM,partial_APA_neighborhood,stem,composite_ECM_APA_structure_domain,751|752,inside_ECM,partial_APA_neighborhood,multiloop,composite_ECM_APA_structure_domain,751|752,inside_ECM,partial_APA_neighborhood,multiloop,composite_ECM_APA_structure_domain
IEL_024,23,1305,1306,2,11,1,28,1.0,mixed_deletion_insertion,recurrent_deletion_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_ECM_APA_structure_domain,ECM+APA+RNA_STRUCTURE,crosses_ECM_boundary,partial_APA_neighborhood,MFE:hairpin_loop|centroid:multiloop;MFE:stem|centroid:multiloop;stem,3,3,3,764|765,crosses_ECM_boundary,partial_APA_neighborhood,MFE:stem|centroid:multiloop,composite_ECM_APA_structure_domain,764|765,crosses_ECM_boundary,partial_APA_neighborhood,MFE:hairpin_loop|centroid:multiloop,composite_ECM_APA_structure_domain,764|765,crosses_ECM_boundary,partial_APA_neighborhood,stem,composite_ECM_APA_structure_domain
IEL_025,24,1333,1333,1,10,1,15,1.0,mixed_deletion_insertion,mixed_recurrent_and_nested,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,between_ECM,APA_distant;PAS_cleavage_neighborhood;partial_APA_neighborhood,MFE:multiloop|centroid:internal_loop;MFE:stem|centroid:hairpin_loop;MFE:stem|centroid:multiloop,0,2,3,784-784,between_ECM,partial_APA_neighborhood,MFE:multiloop|centroid:internal_loop,composite_interface_APA_structure_domain,784-784,between_ECM,APA_distant,MFE:stem|centroid:multiloop,ECM_interface_structure_domain,781|782,between_ECM,PAS_cleavage_neighborhood,MFE:stem|centroid:hairpin_loop,composite_interface_APA_structure_domain
IEL_026,25,1338,1347,10,16,1,61,1.0,mixed_deletion_insertion,complex_mosaic_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,between_ECM,APA_distant;PAS_cleavage_neighborhood;partial_APA_neighborhood,MFE:multiloop|centroid:internal_loop;MFE:stem|centroid:hairpin_loop;MFE:stem|centroid:multiloop,0,2,3,791-796,between_ECM,partial_APA_neighborhood,MFE:multiloop|centroid:internal_loop,composite_interface_APA_structure_domain,787|788,between_ECM,APA_distant,MFE:stem|centroid:multiloop,ECM_interface_structure_domain,786-790,between_ECM,PAS_cleavage_neighborhood,MFE:stem|centroid:hairpin_loop,composite_interface_APA_structure_domain
IEL_027,26,1375,1375,1,9,1,22,1.0,mixed_deletion_insertion,complex_mosaic_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,between_ECM,APA_distant;PAS_cleavage_neighborhood,MFE:stem|centroid:internal_loop;hairpin_loop;stem,0,1,3,799|800,between_ECM,APA_distant,MFE:stem|centroid:internal_loop,ECM_interface_structure_domain,799-799,between_ECM,APA_distant,stem,ECM_interface_structure_domain,798|799,between_ECM,PAS_cleavage_neighborhood,hairpin_loop,composite_interface_APA_structure_domain
IEL_028,27,1463,1465,3,10,2,28,1.0,mixed_deletion_insertion,complex_mosaic_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,composite_ECM_APA_structure_domain;composite_interface_APA_structure_domain,ECM+APA+RNA_STRUCTURE;ECM_INTERFACE+APA+RNA_STRUCTURE,ECM_interface;inside_ECM,partial_APA_neighborhood,MFE:stem|centroid:hairpin_loop;hairpin_loop;multiloop,1,3,3,872|873,ECM_interface,partial_APA_neighborhood,hairpin_loop,composite_interface_APA_structure_domain,872|873,ECM_interface,partial_APA_neighborhood,multiloop,composite_interface_APA_structure_domain,877|878,inside_ECM,partial_APA_neighborhood,MFE:stem|centroid:hairpin_loop,composite_ECM_APA_structure_domain
IEL_029,28,1555,1556,2,9,1,0,,mixed_deletion_insertion,exact_coordinate_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,ECM_interface;between_ECM,APA_distant;partial_APA_neighborhood,MFE:exterior|centroid:hairpin_loop;hairpin_loop,0,2,3,949|958,ECM_interface,APA_distant,hairpin_loop,ECM_interface_structure_domain,949|958,ECM_interface,partial_APA_neighborhood,hairpin_loop,composite_interface_APA_structure_domain,949|950,between_ECM,partial_APA_neighborhood,MFE:exterior|centroid:hairpin_loop,composite_interface_APA_structure_domain
IEL_030,29,1584,1584,1,14,1,26,1.0,mixed_deletion_insertion,mixed_recurrent_and_nested,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,ECM_interface,APA_distant;partial_APA_neighborhood,MFE:stem|centroid:exterior;hairpin_loop,0,2,3,949|958,ECM_interface,APA_distant,hairpin_loop,ECM_interface_structure_domain,949|958,ECM_interface,partial_APA_neighborhood,hairpin_loop,composite_interface_APA_structure_domain,958|959,ECM_interface,partial_APA_neighborhood,MFE:stem|centroid:exterior,composite_interface_APA_structure_domain
IEL_031,30,1621,1622,2,8,1,7,1.0,mixed_deletion_insertion,exact_coordinate_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_structure_domain;composite_ECM_APA_structure_domain,ECM+APA+RNA_STRUCTURE;ECM+RNA_STRUCTURE,inside_ECM,APA_distant;partial_APA_neighborhood,MFE:internal_loop|centroid:multiloop;hairpin_loop;stem,3,1,3,987|1115,inside_ECM,APA_distant,stem,ECM_structure_domain,987|1115,inside_ECM,APA_distant,MFE:internal_loop|centroid:multiloop,ECM_structure_domain,988-989,inside_ECM,partial_APA_neighborhood,hairpin_loop,composite_ECM_APA_structure_domain
IEL_032,31,2093,2093,1,7,1,6,1.0,mixed_deletion_insertion,exact_coordinate_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_ECM_APA_structure_domain,ECM+APA+RNA_STRUCTURE,crosses_ECM_boundary,complete_APA_neighborhood;partial_APA_neighborhood,MFE:bulge|centroid:internal_loop;MFE:stem|centroid:internal_loop;hairpin_loop,3,3,3,1234|1235,crosses_ECM_boundary,complete_APA_neighborhood,MFE:bulge|centroid:internal_loop,composite_ECM_APA_structure_domain,1234|1235,crosses_ECM_boundary,partial_APA_neighborhood,MFE:stem|centroid:internal_loop,composite_ECM_APA_structure_domain,1234|1235,crosses_ECM_boundary,complete_APA_neighborhood,hairpin_loop,composite_ECM_APA_structure_domain
IEL_033,32,2232,2232,1,9,1,8,1.0,mixed_deletion_insertion,exact_coordinate_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,APA_structure_domain;structural_APA_core,APA+RNA_STRUCTURE,after_last_ECM,complete_APA_neighborhood;partial_APA_neighborhood,MFE:stem|centroid:exterior;stem,0,3,3,1300|1301,after_last_ECM,partial_APA_neighborhood,stem,APA_structure_domain,1300|1301,after_last_ECM,complete_APA_neighborhood,stem,structural_APA_core,1300|1301,after_last_ECM,complete_APA_neighborhood,MFE:stem|centroid:exterior,structural_APA_core
IEL_034,33,2238,2247,10,11,2,41,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,APA_structure_domain;structural_APA_core,APA+RNA_STRUCTURE,after_last_ECM,cleavage_DSE_neighborhood;partial_APA_neighborhood,exterior;stem,0,3,3,1306-1311,after_last_ECM,partial_APA_neighborhood,exterior,APA_structure_domain,1306-1315,after_last_ECM,cleavage_DSE_neighborhood,stem,APA_structure_domain,1306-1315,after_last_ECM,cleavage_DSE_neighborhood,exterior,structural_APA_core
